Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.22      0.08     0.08 46932657     0.00     0.00  Cluster::computePointLaplace(Point const&, int, double&)
 20.83      0.15     0.07 83481768     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::operator[](unsigned long)
 19.44      0.23     0.07       11     6.36    31.35  Cluster::computeFieldMultiscale()
 16.67      0.28     0.06 36614790     0.00     0.00  std::abs(double)
 13.89      0.34     0.05 46932659     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::data()
  4.17      0.35     0.01 46932659     0.00     0.00  Cell* std::vector<Cell, std::allocator<Cell> >::_M_data_ptr<Cell>(Cell*) const
  1.39      0.35     0.01  1068052     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  1.39      0.36     0.01        2     2.50     2.50  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::basic_string_view<char, std::char_traits<char> >, void>(std::basic_string_view<char, std::char_traits<char> > const&, std::allocator<char> const&)
  0.00      0.36     0.00  1860616     0.00     0.00  Cluster::isFixed(int, int)
  0.00      0.36     0.00   360004     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::base() const
  0.00      0.36     0.00   180002     0.00     0.00  bool __gnu_cxx::operator!=<Cell*, std::vector<Cell, std::allocator<Cell> > >(__gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > > const&, __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > > const&)
  0.00      0.36     0.00   180000     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::operator++()
  0.00      0.36     0.00   180000     0.00     0.00  __gnu_cxx::__normal_iterator<Cell*, std::vector<Cell, std::allocator<Cell> > >::operator*() const
  0.00      0.36     0.00   180000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.00      0.36     0.00      840     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.36     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.36     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.36     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.36     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.36     0.00      576     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::base() const
  0.00      0.36     0.00      565     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.36     0.00      464     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::__normal_iterator(Point* const&)
  0.00      0.36     0.00      452     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.36     0.00      400     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.36     0.00      386     0.00     0.00  Point&& std::forward<Point>(std::remove_reference<Point>::type&)
  0.00      0.36     0.00      369     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00      360     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.36     0.00      351     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.36     0.00      342     0.00     0.00  Point* std::__niter_base<Point*>(Point*)
  0.00      0.36     0.00      248     0.00     0.00  std::vector<Point, std::allocator<Point> >::size() const
  0.00      0.36     0.00      236     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator*() const
  0.00      0.36     0.00      226     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.36     0.00      208     0.00     0.00  std::vector<Point, std::allocator<Point> >::end()
  0.00      0.36     0.00      171     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      0.36     0.00      153     0.00     0.00  bool __gnu_cxx::operator!=<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.36     0.00      153     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.36     0.00      134     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator()
  0.00      0.36     0.00      123     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator++()
  0.00      0.36     0.00      114     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() const
  0.00      0.36     0.00      114     0.00     0.00  std::vector<Point, std::allocator<Point> >::max_size() const
  0.00      0.36     0.00      114     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      0.36     0.00      114     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_relocate(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.36     0.00      114     0.00     0.00  Point* std::__relocate_a<Point*, Point*, std::allocator<Point> >(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.36     0.00      114     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Point, void>::value, Point*>::type std::__relocate_a_1<Point, Point>(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.36     0.00      113     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator-(long) const
  0.00      0.36     0.00      113     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator-(long) const
  0.00      0.36     0.00      113     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&)
  0.00      0.36     0.00      113     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*()
  0.00      0.36     0.00      113     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.36     0.00      113     0.00     0.00  Point& std::vector<Point, std::allocator<Point> >::emplace_back<Point>(Point&&)
  0.00      0.36     0.00      113     0.00     0.00  std::vector<Point, std::allocator<Point> >::back()
  0.00      0.36     0.00      113     0.00     0.00  std::vector<Point, std::allocator<Point> >::push_back(Point&&)
  0.00      0.36     0.00      113     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.36     0.00      113     0.00     0.00  std::vector<double, std::allocator<double> >::back()
  0.00      0.36     0.00      113     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.36     0.00      113     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      0.36     0.00      113     0.00     0.00  std::remove_reference<Point&>::type&& std::move<Point&>(Point&)
  0.00      0.36     0.00      113     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.36     0.00       97     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin()
  0.00      0.36     0.00       88     0.00     0.05  Cluster::interpolateLevel(int)
  0.00      0.36     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.36     0.00       77     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      0.36     0.00       74     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.36     0.00       70     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.36     0.00       70     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.36     0.00       70     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.36     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
